fips N Obs Exp
39155 76405 138 137.561395276257
39049 246828 518 436.336651157096
39069 8665 8 15.840089481994
39145 26160 65 48.7277300305991
39103 28720 38 48.5487421987463
39165 28089 58 45.7154858000085
39159 9514 6 16.6699093850902
39031 11981 19 22.2022020547338
39149 12179 19 22.2410416503075
39109 28239 40 49.7476931663953
39027 10978 24 19.7219617366772
39107 11240 12 20.9717958517554
39075 7583 8 13.7311229474182
39143 18861 31 33.734192243803
39105 7575 14 14.5851723617589
39007 31394 57 59.4483984831333
39111 5124 8 9.83784407453251
39015 10256 18 19.0822783997527
39025 34932 72 58.7458370764702
39113 177929 320 325.426228629749
39081 29821 72 56.5694958616261
39067 5449 14 10.6547788929387
39003 33690 56 62.7864814735788
39137 9603 10 17.3890102191324
39053 9275 26 17.2288588864002
39139 39982 62 71.537511359622
39093 76102 144 136.298893446484
39097 9603 15 16.8853349505498
39023 47664 96 88.813440086054
39021 10849 20 19.8714574471399
39061 272899 537 515.2401890566
39161 9391 9 17.8752820104834
39047 8715 16 16.5725520524927
39051 11366 9 20.1397822888456
39175 7026 14 13.0663927624113
39087 19656 46 35.5092071123234
39039 10877 22 19.2049169363729
39085 64658 137 111.035761795778
39055 21985 28 36.2719881107168
39073 8090 11 14.9160851958418
39115 4510 11 9.01477682138724
39133 33914 50 58.7640507057366
39013 27203 67 52.4373940442046
39125 5673 8 10.4540187756399
39091 13575 24 26.1334327270453
39169 27924 31 49.0582463312589
39151 118384 214 218.642971120352
39153 164585 316 303.80553096811
39077 16219 14 29.2640064650175
39043 24654 47 45.4659930457387
39029 35152 57 64.5352773524708
39099 97626 176 189.590494143472
39045 28940 43 50.607787907297
39117 7571 10 13.9236704583501
39135 12124 17 22.0490730860987
39123 14340 23 26.4089073473897
39131 7363 21 13.9867748189397
39147 18637 40 33.9443040768346
39033 15760 26 28.5481364466407
39141 21829 39 40.2347204094593
39157 27935 48 51.7864997608315
39041 15961 20 26.9133169021863
39009 14120 21 25.7109433798694
39089 36219 79 63.9874805541996
39057 35745 50 59.0035669254572
39167 19854 39 35.7508074400044
39173 27223 30 48.1549342081627
39059 12703 24 23.908348485973
39119 25595 59 46.8912245269686
39095 138788 283 262.572434045609
39101 19184 52 33.8340715399702
39071 12060 22 23.1232551697127
39127 8884 14 16.3808734375746
39121 3608 4 7.05604611248673
39065 9472 20 17.340623401235
39035 505497 922 991.173894894725
39011 13342 22 24.7643185072109
39083 14606 35 27.8595192888572
39129 13548 22 23.2946363002087
39171 10914 16 20.264821102368
39001 8085 14 15.6783572590858
39037 16971 31 31.8040584117781
39019 7847 9 14.7673346492981
39079 10075 17 18.475080071196
39005 14850 26 26.9533831342569
39163 3529 4 6.9024420887517
39063 19110 29 34.4611904078476
39017 75237 149 129.573778991062
